OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_94	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1	Xanthomonas_1			Xanthomonas_sp.|GLBRC689	100.000	83	Bacteria_Proteobacteria	100.000	100
OTU_2969	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Blastocatellales_1	Blastocatellaceae_1					0	0	Bacteria_Acidobacteriota	97.600	100
OTU_975	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Gammaproteobacteria_incertae_sedis_1	Unknown_family_1	Acidibacter_1				0	0	Bacteria_Proteobacteria	99.600	100
OTU_773	Bacteria_1	Chloroflexi_1	Ktedonobacteria_1	Ktedonobacterales_1	Ktedonobacteraceae_1					0	0		0	0
OTU_131	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1	Dyella_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_599	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Actinomycetospora_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_2041	Bacteria_1	Bdellovibrionota_1	Oligoflexia_1	0319-6g20_1						0	0	Bacteria_Bdellovibrionota	99.200	100
OTU_697	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Niastella_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_148	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Steroidobacterales_1	Steroidobacteraceae_1	Steroidobacter_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_15101	Bacteria_1	Acidobacteriota_1	Acidobacteriae_1	Acidobacteriales_1	Uncultured_7					0	0	Bacteria_Acidobacteriota	99.598	99
OTU_67	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Kineosporiales_1	Kineosporiaceae_1	Kineosporia_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_189	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1					0	0	Bacteria_Proteobacteria	100.000	100
OTU_64	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1					0	0	Bacteria_Actinobacteriota	100.000	100
