OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_116	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius			0	0	Fungi	89.941	83
FOTU_1479	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium sp 	Retroconis_fusiformis|GLBRC280	99.438	89	Fungi	96.517	100
FOTU_66								Mock_sp11	100.000	100	MockK	100.000	100
FOTU_200	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae	Tetraplosphaeria	Tetraplosphaeria sp 		0	0	Fungi	100.000	79
FOTU_251	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	97.906	96
FOTU_269	Fungi								0	0	Fungi	98.000	100
FOTU_450	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Incertae_sedis				0	0	Fungi	100.000	100
FOTU_377	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae				0	0	Fungi	100.000	79
FOTU_2070	Fungi	Ascomycota	Dothideomycetes	Pleosporales					0	0	Fungi	99.355	77
FOTU_742	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe			0	0	Fungi	96.447	99
FOTU_7786	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	95.652	80
FOTU_9259	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	98.077	77
FOTU_268	Fungi								0	0	Fungi	83.673	72
FOTU_695	Fungi								0	0	Fungi	95.364	75
FOTU_158	Fungi	Ascomycota							0	0		0	0
FOTU_396	Fungi								0	0	Fungi	99.355	77
FOTU_94	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala			0	0	Fungi	97.368	76
FOTU_182	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia			0	0	Fungi	96.500	100
FOTU_903	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae				0	0	Fungi	94.000	100
FOTU_679	Fungi	Ascomycota	Glomeromycetes	Glomerales	Glomeraceae				0	0		0	0
FOTU_435	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis	Acremonium	Acremonium curvulum		0	0	Fungi	99.394	82
FOTU_11769	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae		0	0	Fungi	96.569	100
FOTU_55	Mockp	Mockc	Mocko	Mockf	Mockg			Mock_sp5	100.000	100	MockK	100.000	100
FOTU_199	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma		Cladosporium_sp.|GLBRC529	100.000	94	Fungi	100.000	100
FOTU_2313	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	97.980	99
FOTU_1345	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales					0	0	Fungi	99.500	100
FOTU_955	Fungi								0	0		0	0
FOTU_121	Fungi	Ascomycota	Leotiomycetes	Helotiales					0	0	Fungi	96.000	100
FOTU_519	Fungi	Basidiomycota	Agaricomycetes	Auriculariales					0	0	Fungi	90.909	77
FOTU_125	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales				Chaetothyriales_sp.|GLBRC530	100.000	88	Fungi	98.370	92
FOTU_500	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis friesii		0	0	Fungi	96.667	90
