OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Phylum,Class,Taxon
OTU_133,17,2,10,3,0,3,3,2,1,3,3,0,10,2,0,1,3,5,6,2,1,3,5,3,3,1,4,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_134,3,2,3,8,4,8,8,4,10,10,7,5,2,7,9,12,0,4,29,4,0,25,15,4,17,5,2,Proteobacteria,Alphaproteobacteria,Rhizomicrobium
OTU_135,3,2,3,2,1,1,9,2,1,9,6,7,9,13,9,14,12,4,10,25,11,2,3,11,8,7,2,Acidobacteria,Holophaga,Gp2
OTU_136,2,3,2,7,3,1,2,0,3,4,0,2,0,1,1,6,0,2,13,0,0,12,4,0,5,0,0,Proteobacteria,Deltaproteobacteria,Chondromyces
OTU_137,1,5,4,6,5,2,2,6,0,5,7,4,6,3,3,8,3,4,6,8,4,3,4,2,6,5,0,Bacteroidetes,Cytophagia,Sporocytophaga
OTU_138,0,0,1,0,0,0,2,0,0,0,0,2,2,3,0,0,2,1,10,2,1,6,0,0,1,1,0,Actinobacteria,,Salinibacterium
OTU_139,0,2,0,2,0,0,0,2,0,0,0,1,1,2,0,2,2,0,2,0,2,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_140,3,5,2,2,3,2,5,6,0,5,5,1,4,6,1,0,1,3,4,2,3,1,0,1,0,7,14,Planctomycetes,Planctomycea,Singulisphaera
OTU_141,0,0,4,0,0,0,0,11,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,Actinobacteria,,Rhodococcus
OTU_142,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Acidobacteria,,Gp6
OTU_143,7,0,2,0,2,4,0,3,0,2,1,0,2,1,2,1,0,0,11,6,4,2,1,2,8,1,1,Acidobacteria,,Gp3
OTU_144,1,2,3,0,0,2,9,4,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,Proteobacteria,Deltaproteobacteria,Anaeromyxobacter
OTU_145,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,Planctomycetes,Planctomycetacia,Zavarzinella
OTU_146,0,0,1,8,5,2,0,0,1,2,0,0,1,0,2,5,0,2,0,2,2,0,0,0,0,0,0,Gemmatimonadetes,,Gemmatimonas
OTU_147,3,5,2,1,0,3,4,4,0,1,0,2,3,0,6,0,3,0,3,3,2,0,0,0,3,2,2,Actinobacteria,Actinobacteria,Aciditerrimonas
OTU_148,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,3,0,0,1,0,1,4,1,0,3,0,Chloroflexi,,Ktedonobacter
OTU_149,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,,,Gp10
OTU_150,4,6,2,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,2,0,0,Actinobacteria,,Solirubrobacter
OTU_151,0,7,2,7,0,0,2,7,5,8,8,5,9,6,12,5,15,8,13,5,7,10,7,1,8,17,8,Firmicutes,,Gp1
OTU_152,4,0,12,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,3,0,11,2,0,1,1,3,Bacteroidetes,Sphingobacteria,Sediminibacterium
OTU_153,2,3,5,0,1,5,0,3,0,1,0,3,4,2,3,1,0,0,5,1,0,7,0,1,0,0,6,Actinobacteria,Actinobacteria,Aciditerrimonas
OTU_154,4,3,4,5,1,2,9,4,3,2,2,1,5,4,1,5,3,4,4,5,11,10,2,0,2,2,5,Acidobacteria,,Gp6
OTU_155,4,3,9,4,3,7,7,8,6,6,6,10,12,1,8,13,2,4,4,11,2,2,4,1,3,7,3,Proteobacteria,Alphaproteobacteria,Azospirillum
OTU_156,4,5,20,10,19,1,2,23,21,13,13,23,7,24,21,19,26,23,13,6,22,5,4,15,12,9,13,Acidobacteria,,Gp2
OTU_157,9,8,3,3,7,4,3,1,0,3,5,3,3,3,3,0,2,0,2,3,3,5,1,3,3,0,4,Acidobacteria,,Gp3
OTU_158,4,0,1,2,1,0,1,0,0,2,0,1,1,1,2,0,2,0,8,1,0,6,3,0,2,0,5,Actinobacteria,,Blastococcus
OTU_159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Bacteroidetes,Sphingobacteria,Chitinophaga
OTU_160,4,3,3,1,3,0,0,0,1,3,1,0,0,0,0,1,0,3,2,0,2,6,2,0,0,1,0,Firmicutes,,Gp1
OTU_161,1,6,5,8,9,16,7,4,10,0,0,2,4,0,2,1,6,0,0,0,2,0,4,3,0,2,14,Actinobacteria,,Conexibacter
OTU_162,2,0,0,0,0,0,0,1,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,Firmicutes,Bacilli,Ammoniphilus
OTU_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,Armatimonadetes,,Armatimonadetes_gp5
