OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1537	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Entophlyctis	Entophlyctis sp 
OTU_1538	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
OTU_1539	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia sp 
OTU_1540	Fungi	Basidiomycota	Microbotryomycetes				
OTU_1541	Fungi	Ascomycota	Dothideomycetes				
OTU_1542	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma caeruleopolitum
OTU_1543	Fungi						
OTU_1544	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1545	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Cotylidia	Cotylidia undulata
OTU_1546	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
OTU_1547	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Sarcostroma	Sarcostroma restionis
OTU_1548	Viridiplantae	Chlorophyta					
OTU_1549	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula	Cyathicula culmicola
OTU_1550	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_1551	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae		
OTU_1552	Fungi	Mucoromycota	Endogonomycetes				
OTU_1553	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	
OTU_1554	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron periconioides
