OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_340,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_343,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_excelsa_SH1558439.08FU",Ectomycorrhizal,Highly Probable
OTU_344,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_346,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_gennadii_SH1547793.08FU",Ectomycorrhizal,Highly Probable
OTU_348,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_35,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_versicolor_SH1509014.08FU",Ectomycorrhizal,Highly Probable
OTU_36,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria_bicolor_SH1553111.08FU",Ectomycorrhizal,Highly Probable
OTU_371,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_subnudipes_SH1527482.08FU",Ectomycorrhizal,Probable
OTU_390,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus_rubriceps_SH2561879.08FU",Ectomycorrhizal,Highly Probable
OTU_406,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_415,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina",Ectomycorrhizal,Highly Probable
OTU_423,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_pseudorubens_SH1611572.08FU",Ectomycorrhizal,Highly Probable
OTU_424,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Macowanites,Macowanites_chlorinosmus_SH1538913.08FU",Ectomycorrhizal,Highly Probable
OTU_430,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum",Ectomycorrhizal,Highly Probable
OTU_434,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_447,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_terrestris_SH1502212.08FU",Ectomycorrhizal,Highly Probable
OTU_449,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
OTU_47,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_coerulea_SH1528439.08FU",Ectomycorrhizal,Highly Probable
OTU_470,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_49,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber",Ectomycorrhizal,Highly Probable
OTU_493,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_quercoconicus_SH1545329.08FU",Ectomycorrhizal,Highly Probable
OTU_501,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_purpurascens_SH1503751.08FU",Ectomycorrhizal,Highly Probable
OTU_506,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_junghuhnii_SH1545280.08FU",Ectomycorrhizal,Highly Probable
OTU_509,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
