OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Taxon
OTU_117,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,70,0,4,38,0,4,48,12,466,0,0,28,Hypocreales
OTU_271,18,48,112,8,74,106,22,24,22,0,48,58,12,0,16,18,4,4,0,16,0,10,10,54,20,106,46,Terfezia_pseudoleptoderma
OTU_126,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,Inocybe
OTU_258,168,94,74,64,94,40,6,56,26,0,128,0,78,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Herpotrichiellaceae
OTU_445,22,34,48,4,36,0,12,0,0,44,6,4,18,12,118,0,6,16,168,16,8,190,6,32,16,12,0,Chaetothyriales
OTU_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,Teratosphaeriaceae
OTU_265,0,0,0,70,0,0,0,0,0,138,0,4,0,84,0,114,0,80,50,104,76,0,0,0,0,76,0,Sebacina
OTU_278,8,96,26,8,0,24,152,90,8,6,22,12,38,6,0,16,4,14,6,24,8,32,28,66,0,98,0,Gongronella
OTU_139,0,64,26,0,0,42,28,196,334,0,0,8,6,0,4,0,10,6,0,0,20,0,44,0,0,0,0,Geopora_clausa
OTU_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,46,0,10,678,0,4,Rhizopogon
OTU_148,12,0,338,60,38,264,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,Hebeloma_griseopruinatum
OTU_154,0,72,0,0,0,54,0,0,38,274,24,0,0,0,0,28,4,28,38,18,0,40,0,114,0,14,0,Mortierella_globulifera
OTU_77,0,0,4,586,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herpotrichiellaceae
OTU_337,130,74,78,36,34,8,12,72,4,4,6,0,0,12,28,64,0,0,10,0,18,0,66,50,24,0,8,Polyschema_sclerotigenum
OTU_141,296,86,16,96,162,22,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herpotrichiellaceae
OTU_307,0,20,16,198,32,152,0,0,0,68,112,6,0,0,30,8,78,0,0,0,0,0,6,4,0,0,4,Amanita_torrendii
OTU_83,0,0,18,0,0,0,0,0,0,54,608,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,Eurotiomycetes
OTU_142,0,32,0,12,10,504,18,0,6,8,0,0,4,36,14,4,10,4,0,40,0,0,8,0,0,0,0,Mycena_aetites
OTU_89,0,0,0,48,0,536,0,42,16,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,Thelephora_terrestris
OTU_118,46,0,0,0,0,364,0,0,0,0,72,14,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,Agaricomycetes
OTU_145,28,208,132,8,8,256,10,4,0,0,20,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leotiomycetes
OTU_181,0,118,0,0,6,0,0,4,0,4,0,0,0,0,16,0,0,0,162,0,28,266,16,0,60,0,8,Ochroconis
OTU_248,0,8,26,148,82,154,132,76,28,0,0,0,0,0,0,0,0,0,8,0,0,6,0,12,0,0,0,Metarhizium_carneum
OTU_257,4,68,0,0,0,42,452,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amanita_groenlandica
OTU_329,12,44,10,28,0,0,12,102,78,0,54,0,8,4,80,0,16,10,0,0,16,14,40,26,82,0,24,Nectriaceae
OTU_1546,6,10,4,0,4,0,16,24,0,12,0,8,20,0,0,0,0,4,54,34,110,52,178,96,0,0,24,Chaetothyriales
OTU_82,0,0,0,22,118,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metarhizium
OTU_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,12,0,0,56,0,0,522,10,0,Calyptrozyma
OTU_115,78,6,0,4,0,0,0,0,0,0,402,0,0,0,0,0,0,0,72,0,18,26,0,0,22,0,8,Ciboria_cistophila
OTU_1389,4,10,4,0,0,0,0,0,0,12,8,10,56,0,0,0,0,0,50,30,10,28,4,180,16,16,198,Oidiodendron_chlamydosporicum
OTU_194,0,4,0,0,26,12,0,0,0,10,0,0,0,0,6,0,0,60,24,0,0,50,38,276,36,94,0,Boletaceae
OTU_96,0,0,12,0,0,0,0,0,0,0,0,0,0,0,488,4,0,0,4,0,0,120,0,0,0,0,0,Rhizoscyphus
OTU_113,0,0,4,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,606,0,0,0,0,0,Mortierella_basiparvispora
OTU_182,8,10,14,0,10,0,0,0,50,0,52,4,0,0,12,0,6,0,0,0,16,94,10,18,278,16,28,Naganishia_randhawae
OTU_173,22,4,30,302,72,32,6,0,0,40,28,6,0,0,0,0,0,16,0,18,0,0,0,0,0,20,0,Herpotrichiellaceae
OTU_122,14,6,0,0,6,0,4,0,0,0,0,0,26,10,24,0,0,0,32,0,0,38,0,0,430,0,0,Aureobasidium_pullulans
OTU_1583,0,4,0,0,0,0,0,0,0,22,80,30,6,8,0,20,0,0,22,32,24,60,28,208,20,22,4,Oidiodendron_chlamydosporicum
OTU_217,8,38,28,16,0,0,12,0,0,0,18,8,0,0,0,6,122,0,12,10,26,34,154,56,0,14,26,Nectriaceae
OTU_305,0,0,0,0,4,0,0,0,0,4,42,0,0,0,6,0,0,0,134,18,0,188,0,28,136,14,10,Rhodosporidiobolus
OTU_276,4,10,4,52,18,176,32,0,16,14,106,0,0,10,0,6,0,0,0,0,0,0,0,60,14,32,24,Tuber_gennadii
OTU_326,0,4,0,12,0,0,0,0,0,26,114,16,98,48,152,4,22,54,0,0,10,0,0,0,0,0,0,GS34
OTU_372,90,28,40,42,18,12,82,12,0,4,0,0,0,0,48,0,4,0,22,0,6,86,0,22,0,38,0,Hypocreales_fam_Incertae_sedis
OTU_92,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,12,0,0,0,32,0,0,0,0,0,0,0,Piloderma
OTU_104,448,26,0,0,0,0,0,0,0,0,38,0,4,18,0,0,0,0,0,0,0,0,0,4,0,0,0,Oidiodendron_flavum
OTU_172,12,68,0,0,8,0,0,0,0,0,302,8,0,10,0,0,0,4,8,0,0,0,0,60,0,58,0,Lachnum
OTU_106,0,0,42,406,0,0,0,0,0,4,28,0,0,0,0,0,0,38,0,0,0,4,6,0,8,0,0,Terfezia_leptoderma
OTU_308,60,28,0,0,110,18,0,0,118,4,42,4,10,12,22,0,16,0,12,0,0,0,8,10,32,4,20,Ascomycota
OTU_174,0,0,10,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,20,160,0,8,0,Mortierella
OTU_340,0,0,138,102,0,0,0,0,0,0,46,68,0,0,0,70,0,102,0,0,0,0,0,0,0,0,0,Thelephoraceae
OTU_111,6,0,10,0,0,16,0,0,28,0,8,0,26,0,4,0,0,0,22,4,4,10,6,0,372,0,4,Coniozyma_leucospermi
OTU_1488,0,0,0,4,4,8,0,0,0,0,12,16,8,0,0,154,0,0,12,14,34,10,122,24,44,40,0,Mortierella_amoeboidea
OTU_169,0,0,0,0,0,0,24,0,0,222,0,0,0,0,0,0,0,0,166,58,0,0,0,10,0,0,6,Thelephoraceae
OTU_490,4,36,0,0,0,54,38,8,16,12,0,6,44,4,6,4,24,10,28,34,0,12,92,24,12,14,4,Trichoderma_trixiae
OTU_176,0,0,0,294,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,Inocybe_sambucina
OTU_521,28,18,18,12,0,10,48,58,12,4,22,0,24,10,18,14,30,4,8,14,34,38,22,14,8,0,4,Cladophialophora
OTU_786,0,0,8,10,30,164,28,10,50,0,0,0,0,0,0,10,6,0,62,6,4,0,4,42,6,0,28,Pseudogymnoascus
OTU_131,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,440,0,0,4,0,0,6,Athelia
OTU_565,0,0,18,100,0,0,88,10,170,0,0,0,0,14,0,12,0,4,0,0,0,0,10,0,4,0,32,Mortierella_amoeboidea
OTU_331,0,0,4,4,92,10,0,18,12,30,8,0,4,80,154,0,6,0,0,0,16,10,0,0,4,0,0,Hyaloscyphaceae
OTU_705,10,6,0,0,0,0,0,0,0,24,0,0,0,4,4,26,0,128,16,0,0,4,34,158,10,6,22,Pezoloma_ericae
OTU_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,Tomentella
OTU_199,14,30,10,16,248,22,12,18,16,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,48,Clohesyomyces_aquaticus
OTU_159,0,0,0,0,0,0,0,0,0,0,294,86,24,0,0,6,0,0,0,0,0,0,0,0,28,0,0,Cortinarius_misermontii
OTU_185,0,76,0,0,16,4,0,48,4,0,8,0,0,0,8,0,0,0,0,0,0,42,0,0,220,4,8,Drechslera
OTU_289,0,58,22,0,58,42,42,4,0,16,4,0,0,0,0,0,140,4,14,4,0,0,28,0,0,0,0,Sordaria_fimicola
OTU_272,0,6,14,54,0,50,24,136,58,24,28,0,0,0,0,30,0,4,0,0,6,0,0,0,0,0,0,Helvella_pseudolacunosa
OTU_166,0,0,0,0,0,0,0,0,0,248,32,0,12,0,6,62,0,64,0,0,0,0,0,0,0,0,0,Pezoloma_ericae
OTU_390,0,4,50,0,0,134,0,0,0,68,26,0,0,6,0,22,0,98,14,0,0,0,0,0,0,0,0,Boletus_rubriceps
OTU_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,Cortinarius_uraceonemoralis
OTU_195,0,4,0,248,64,12,18,4,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Herpotrichiellaceae
OTU_158,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,0,12,16,0,0,370,0,4,Helotiales
OTU_319,28,26,0,0,0,0,4,0,12,14,0,82,24,8,8,40,62,6,6,0,0,80,0,4,0,8,0,Herpotrichiellaceae
