OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id
OTU_125	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1			5_200_B2	92.000
OTU_126	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Pyrinomonadales_1	Pyrinomonadaceae_1	Rb41_1			14_T_B4	79.032
OTU_127	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Imcc26256_1					15_100_B4	84.211
OTU_128	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Ilumatobacteraceae_1	Ilumatobacter_1			15_100_B4	83.806
OTU_129	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	82.329
OTU_130	Bacteria_1	Actinobacteriota_1	Rubrobacteria_1	Rubrobacterales_1	Rubrobacteriaceae_1	Rubrobacter_1			13_40_B2	84.400
OTU_131	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Kf-jg30-b3_1				15_INT_B3	90.800
OTU_132	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Devosiaceae_1	Devosia_1			8_40_B7	91.600
OTU_133	Bacteria_1	Methylomirabilota_1	Methylomirabilia_1	Rokubacteriales_1					7_100_B3	81.377
OTU_134	Bacteria_1	Nb1-j_1								0
OTU_135	Bacteria_1	Actinobacteriota_1	Mb-a2-108_1						16_40_B2	87.649
OTU_136	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1			13_EST_B1	79.116
OTU_137	Bacteria_1	Firmicutes_1	Bacilli_1	Caldalkalibacillales_1	Caldalkalibacillaceae_1	Caldalkalibacillus_1			17_INT_B2	92.400
OTU_138	Bacteria_1	Chloroflexi_1	Olb14_1							0
OTU_139	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				4_20_B6	82.869
OTU_140	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Phenylobacterium_1			14_T_B4	91.600
OTU_141	Bacteria_1	Chloroflexi_1	Anaerolineae_1	Anaerolineales_1	Anaerolineaceae_1	Anaerolinea_1				0
OTU_142	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Intrasporangiaceae_1	Janibacter_1			3_100_B2	93.625
OTU_143	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	83.399
OTU_144	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1				15_INT_B1	91.566
OTU_145	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	Solirubrobacteraceae_1	Parviterribacter_1			4_200_B3	79.762
OTU_146	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1			17_INT_B2	100.000
OTU_147	Bacteria_1	Entotheonellaeota_1	Entotheonellia_1	Entotheonellales_1	Entotheonellaceae_1					0
OTU_148	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Subgroup_17_1					8_40_B7	81.224
OTU_149	Bacteria_1	Latescibacterota_1							16_40_B2	80.645
OTU_150	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Imcc26256_1					13_40_B2	84.211
OTU_151	Bacteria_1	Chloroflexi_1	Kd4-96_1						17_INT_B2	84.000
OTU_152	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Micrococcaceae_1				8_20_B5	96.000
OTU_153	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				3_100_B2	83.333
OTU_154	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1			5_200_B2	96.800
OTU_155	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Sporichthyaceae_1	Uncultured_255			16_40_B2	93.200
OTU_156	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Mycobacteriaceae_1	Mycobacterium_1			12_100_B5	96.400
OTU_157	Bacteria_1	Chloroflexi_1	Kd4-96_1						4_20_B6	82.937
OTU_158	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Uncultured_196				14_T_B4	92.400
OTU_159	Bacteria_1	Desulfobacterota_1	Desulfuromonadia_1	Desulfuromonadaceae_1	Desulfuromonas_1				7_100_B9	84.000
OTU_160	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Blastocatellales_1	Blastocatellaceae_1	Uncultured_96			14_T_B4	76.680
OTU_161	Bacteria_1	Myxococcota_1	Polyangia_1	Nannocystales_1	Nannocystaceae_1	Metagenome_504			4_200_B3	80.556
OTU_162	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Uncultured_212				15_100_B4	83.600
OTU_163	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	0319-7l14_1					15_100_B4	90.119
OTU_164	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	84.400
OTU_165	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1			13_EST_B1	77.016
OTU_166	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Ellin6067_1			7_100_B7	87.649
OTU_167	Bacteria_1	Desulfobacterota_1	Desulfuromonadia_1	Geobacterales_1	Geobacteraceae_1	Geobacter_1				0
OTU_168	Bacteria_1	Verrucomicrobiota_1	Verrucomicrobiae_1	Chthoniobacterales_1	Xiphinematobacteraceae_1	Candidatus_xiphinematobacter_1				0
OTU_169	Bacteria_1									0
OTU_170	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Steroidobacterales_1	Steroidobacteraceae_1	Uncultured_195			3_INT_B2	90.000
OTU_171	Bacteria_1	Chloroflexi_1	Anaerolineae_1	Sbr1031_1						0
OTU_172	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Uncultured_101					12_200_B4	85.714
OTU_173	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	78.486
OTU_174	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76			12_200_B4	76.923
OTU_175	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Uncultured_327	Uncultured_bacterium_2887				4_200_B4	80.632
OTU_176	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Gemmatimonas_1				0
OTU_177	Bacteria_1	Chloroflexi_1	Kd4-96_1							0
OTU_178	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1				5_T_B4	82.470
OTU_179	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1			5_200_B2	93.600
OTU_180	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	83.600
OTU_181	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Sutterellaceae_1	Uncultured_136			7_100_B7	90.837
OTU_182	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Uncultured_bacterium_2219				16_40_B2	93.600
OTU_183	Archaea_1	Crenarchaeota_1	Nitrososphaeria_1	Nitrososphaerales_1	Nitrososphaeraceae_1					0
OTU_184	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Elsterales_1	Uncultured_143				14_T_B4	86.800
OTU_185	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1	Uncultured_237			2_EST_B3	82.470
OTU_186	Bacteria_1	Chloroflexi_1	Gitt-gs-136_1							0
OTU_187	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Salinisphaerales_1	Solimonadaceae_1	Polycyclovorans_1				0
OTU_188	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1	Luedemannella_1			16_40_B2	91.165
OTU_189	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	84.800
OTU_190	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Hyphomicrobiaceae_1	Pedomicrobium_1			14_T_B4	92.032
OTU_191	Bacteria_1	Latescibacterota_1								0
OTU_192	Bacteria_1	Firmicutes_1	Bacilli_1	Alicyclobacillales_1	Alicyclobacillaceae_1	Tumebacillus_1			14_INT_B1	82.283
OTU_193	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1	Rhizocola_1			14_T_B1	87.952
OTU_194	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Mnd1_1			2_EST_B8	88.889
OTU_195	Bacteria_1	Latescibacterota_1								0
OTU_196	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48				12_40_B9	82.937
OTU_197	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Is-44_1			2_EST_B8	88.800
OTU_198	Bacteria_1	Chloroflexi_1	Tk10_1							0
OTU_199	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	Vicinamibacteraceae_1				2_EST_B3	83.267
