#OTU ID	sample5	sample3	sample4	sample8	sample2	sample10	sample1	sample6	sample9	sample7
OTU_1360	0	3	1	0	0	0	0	0	0	1
OTU_663	0	5	8	0	0	0	0	0	0	0
OTU_47	0	3	0	1	0	5	3865	0	2	0
OTU_371	0	18	6	0	4	0	20	0	0	0
OTU_858	0	6	21	0	37	0	13	0	0	0
OTU_6	0	9	1	0	1	26	14844	0	3	1
OTU_464	0	1	0	0	1	0	0	0	25	0
OTU_77	0	3	0	0	0	0	1	0	0	1338
OTU_1292	0	1	2	0	0	0	0	0	0	0
OTU_1341	0	16	0	0	0	0	0	0	0	0
OTU_269	0	24	62	0	1	0	2	0	0	0
OTU_37	0	3	47	0	2450	4	1443	6	19	1
OTU_765	0	2	0	6	2	0	6	529	1	18
OTU_326	0	1	0	0	0	1	409	0	0	0
OTU_957	0	2	1	0	1	0	3	0	0	0
OTU_52	0	2	3	0	1	4	2137	1	1	1
OTU_840	0	1	0	0	0	0	28	5	0	111
OTU_635	0	3	792	0	0	1	0	1	0	0
OTU_73	0	1	0	0	2406	1	0	0	0	0
OTU_620	0	3	11	0	9	0	18	0	0	0
OTU_547	0	16	17	0	0	0	0	0	0	0
OTU_701	0	3	529	0	0	1	0	0	0	0
OTU_1207	0	5	0	0	0	0	0	0	0	0
OTU_1307	0	4	1	0	1	0	24	0	0	3
OTU_34	0	2	0	0	0	5	3857	0	1	0
OTU_418	0	15	5	0	0	0	0	0	0	0
OTU_1316	0	7	9	0	1	3	0	0	0	2
OTU_1132	0	3	2	0	0	0	0	0	0	0
OTU_980	0	1	0	0	0	0	289	0	0	1
OTU_1365	0	3	1	0	0	0	0	0	0	0
OTU_199	0	4	41	1	605	3	8	0	1	3
OTU_286	0	1	0	0	0	0	0	194	0	0
OTU_681	0	4	2	0	0	0	0	0	0	0
OTU_777	0	4	3	0	0	0	0	0	0	0
OTU_17	0	8	3	0	7046	10	1	1	3	1
OTU_500	0	5	36	0	2	0	2	0	1	0
OTU_39	0	3	1	1	1	4	3667	0	2	1
OTU_1197	0	4	1	0	0	0	0	0	0	0
OTU_146	0	3	0	2	0	1	1	0	621	0
OTU_169	0	4	0	0	2	2	0	1	1	1554
OTU_1122	0	3	63	0	45	0	0	0	0	0
OTU_189	0	1	0	0	0	0	185	0	0	0
OTU_50	0	2	1	0	2313	4	0	0	0	0
OTU_1169	0	4	0	0	0	0	0	0	0	0
OTU_1039	0	6	0	0	0	0	0	3	0	7
OTU_318	0	2	0	0	0	0	0	113	0	0
OTU_563	0	1	0	0	0	0	7	0	0	8
OTU_1210	0	3	0	0	0	0	0	0	0	0
OTU_1101	0	3	0	0	13	0	7	2	0	3
OTU_192	0	5	234	0	74	0	7	0	4	0
OTU_23	0	5	0	1	1	5	5479	4	1	0
OTU_81	0	1	0	1	0	2	1386	0	0	0
OTU_786	0	4	0	0	0	0	6	0	0	0
OTU_51	0	1	0	0	2237	3	0	0	0	0
OTU_26	0	2	0	0	0	6	5282	1	0	0
OTU_755	0	8	0	0	0	0	0	0	0	0
